customer_id,signup_date,acquisition_channel,risk_tier_at_signup,income_band,region,age_band
92,2023-03-16,affiliate,A,<40k,Other,25-34
93,2023-03-28,paid_search,B,70-110k,NY,35-44
94,2023-03-31,paid_search,A,110k+,NY,35-44
95,2023-03-27,referral,B,40-70k,Other,45-54
96,2023-03-15,partnership,B,70-110k,Other,25-34
97,2023-03-11,affiliate,B,<40k,Other,35-44
98,2023-03-31,paid_search,A,<40k,Other,25-34
99,2023-03-08,partnership,B,<40k,Other,25-34
100,2023-03-13,paid_search,A,110k+,Other,25-34
101,2023-03-03,paid_search,B,70-110k,Other,25-34
102,2023-03-25,partnership,B,70-110k,Other,45-54
103,2023-03-21,paid_search,B,<40k,Other,45-54
104,2023-03-03,partnership,C,<40k,NY,45-54
105,2023-03-07,affiliate,A,110k+,NY,45-54
106,2023-03-18,affiliate,C,40-70k,NY,35-44
107,2023-03-17,paid_search,B,40-70k,Other,55+
108,2023-03-25,paid_search,B,40-70k,NY,25-34
109,2023-03-09,paid_search,A,40-70k,Other,25-34
110,2023-03-29,organic,C,<40k,NY,45-54
111,2023-03-14,partnership,C,<40k,NY,25-34
112,2023-03-26,paid_search,B,40-70k,NY,18-24
113,2023-03-08,affiliate,B,110k+,Other,35-44
114,2023-03-02,partnership,A,40-70k,NY,45-54
115,2023-03-02,partnership,C,70-110k,Other,55+
116,2023-03-12,paid_search,D,<40k,NY,25-34
117,2023-03-30,paid_search,B,<40k,Other,35-44
118,2023-03-02,referral,B,<40k,NY,25-34
119,2023-03-12,affiliate,C,40-70k,Other,25-34
120,2023-03-04,partnership,A,40-70k,Other,45-54
121,2023-03-29,partnership,A,110k+,NY,55+
122,2023-03-21,partnership,A,40-70k,Other,25-34
123,2023-03-24,organic,A,70-110k,NY,45-54
124,2023-03-23,affiliate,C,70-110k,NY,35-44
125,2023-03-21,organic,A,40-70k,NY,55+
126,2023-03-24,affiliate,C,70-110k,NJ,35-44
127,2023-03-01,referral,B,40-70k,NJ,25-34
128,2023-03-27,paid_search,A,110k+,NJ,55+
129,2023-03-23,paid_search,A,70-110k,NY,25-34
130,2023-03-23,organic,A,<40k,Other,25-34
131,2023-03-13,referral,B,40-70k,NJ,35-44
132,2023-03-25,organic,A,110k+,Other,45-54
133,2023-03-12,organic,A,40-70k,Other,25-34
134,2023-03-02,paid_search,A,40-70k,Other,35-44
135,2023-03-29,organic,B,70-110k,NY,55+
136,2023-03-08,paid_search,B,70-110k,NY,55+
137,2023-03-04,paid_search,A,<40k,NJ,25-34
138,2023-03-20,paid_search,A,70-110k,NJ,55+
139,2023-03-08,organic,A,70-110k,NJ,35-44
140,2023-03-27,organic,B,40-70k,Other,25-34
141,2023-03-14,paid_search,A,70-110k,Other,18-24
142,2023-03-01,organic,A,110k+,Other,55+
143,2023-03-30,affiliate,B,70-110k,NY,55+
144,2023-03-16,paid_search,A,70-110k,NJ,35-44
145,2023-03-09,paid_search,B,40-70k,Other,25-34
146,2023-03-21,paid_search,B,40-70k,NJ,25-34
147,2023-03-17,paid_search,A,<40k,Other,35-44
148,2023-03-01,organic,B,<40k,NY,25-34
149,2023-03-24,organic,B,110k+,NY,35-44
150,2023-03-13,partnership,A,40-70k,NY,25-34
151,2023-03-22,organic,B,110k+,NY,35-44
152,2023-03-28,paid_search,B,110k+,Other,25-34
153,2023-03-19,paid_search,B,40-70k,Other,25-34
154,2023-03-21,paid_search,B,<40k,NJ,45-54
155,2023-03-08,paid_search,B,40-70k,Other,45-54
156,2023-03-08,partnership,A,70-110k,NJ,35-44
157,2023-03-13,partnership,A,40-70k,Other,55+
158,2023-03-27,paid_search,C,110k+,Other,45-54
159,2023-03-17,paid_search,C,40-70k,NJ,25-34
160,2023-03-11,paid_search,B,40-70k,NY,35-44
161,2023-03-25,paid_search,A,40-70k,Other,45-54
162,2023-03-27,affiliate,A,<40k,NY,45-54
163,2023-03-28,paid_search,C,<40k,Other,18-24
164,2023-03-10,paid_search,A,110k+,NY,25-34
165,2023-03-22,partnership,A,70-110k,Other,55+
166,2023-03-19,organic,A,40-70k,Other,25-34
167,2023-03-14,paid_search,C,40-70k,NY,45-54
168,2023-03-13,affiliate,A,70-110k,Other,35-44
169,2023-03-04,organic,B,70-110k,Other,55+
170,2023-03-09,organic,B,<40k,Other,55+
171,2023-03-18,organic,A,70-110k,NJ,18-24
172,2023-03-28,partnership,B,40-70k,Other,45-54
173,2023-03-27,organic,C,40-70k,NY,45-54
174,2023-03-06,paid_search,C,40-70k,Other,25-34
175,2023-03-22,organic,C,<40k,NY,35-44
176,2023-03-03,organic,A,<40k,NY,25-34
177,2023-03-21,affiliate,C,<40k,Other,45-54
178,2023-03-11,paid_search,A,40-70k,Other,45-54
179,2023-03-14,affiliate,B,70-110k,NY,25-34
180,2023-03-23,affiliate,C,<40k,Other,35-44
181,2023-03-14,partnership,C,40-70k,NY,25-34
182,2023-03-26,organic,A,70-110k,NY,18-24
183,2023-03-17,partnership,A,40-70k,Other,25-34
184,2023-03-31,affiliate,D,<40k,Other,25-34
185,2023-03-20,organic,A,110k+,Other,45-54
186,2023-03-10,partnership,A,40-70k,Other,25-34
187,2023-03-25,partnership,B,70-110k,Other,45-54
188,2023-03-13,paid_search,B,<40k,NY,35-44
189,2023-03-17,partnership,B,40-70k,NJ,45-54
190,2023-03-05,paid_search,C,40-70k,NJ,25-34
191,2023-03-04,affiliate,B,40-70k,Other,35-44
192,2023-03-18,referral,A,<40k,NY,55+
193,2023-03-06,paid_search,B,<40k,Other,35-44
194,2023-03-31,partnership,B,110k+,NY,25-34
195,2023-03-27,paid_search,B,40-70k,Other,25-34
196,2023-03-22,partnership,A,40-70k,NJ,25-34
197,2023-03-23,affiliate,A,110k+,NY,25-34
198,2023-03-19,paid_search,A,40-70k,NY,35-44
199,2023-03-02,paid_search,A,110k+,Other,18-24
200,2023-03-13,paid_search,A,<40k,Other,25-34
201,2023-03-16,organic,C,70-110k,Other,35-44
202,2023-03-29,organic,D,<40k,NJ,25-34
203,2023-03-07,paid_search,D,40-70k,Other,25-34
204,2023-03-16,organic,D,40-70k,NJ,55+
205,2023-03-11,organic,A,40-70k,Other,25-34
206,2023-03-05,partnership,A,40-70k,NY,45-54
207,2023-04-01,referral,B,110k+,Other,25-34
208,2023-04-18,paid_search,A,40-70k,NY,55+
209,2023-04-18,organic,A,40-70k,Other,25-34
210,2023-04-11,paid_search,A,40-70k,Other,45-54
211,2023-04-21,referral,A,110k+,Other,45-54
212,2023-04-13,organic,A,<40k,Other,25-34
213,2023-04-14,partnership,B,70-110k,NY,45-54
214,2023-04-13,affiliate,D,40-70k,NJ,45-54
215,2023-04-25,partnership,B,70-110k,Other,45-54
216,2023-04-19,referral,A,<40k,NY,35-44
217,2023-04-12,partnership,B,70-110k,NJ,45-54
218,2023-04-28,referral,C,<40k,Other,35-44
219,2023-04-25,organic,B,40-70k,Other,55+
220,2023-04-28,partnership,B,110k+,Other,25-34
221,2023-04-22,affiliate,B,40-70k,Other,18-24
222,2023-04-12,affiliate,B,110k+,NY,45-54
223,2023-04-24,partnership,A,110k+,Other,25-34
224,2023-04-10,referral,B,40-70k,Other,35-44
225,2023-04-09,affiliate,C,<40k,NY,45-54
226,2023-04-14,paid_search,B,40-70k,NY,25-34
227,2023-04-30,paid_search,C,<40k,NJ,55+
228,2023-04-18,paid_search,A,70-110k,NY,45-54
229,2023-04-12,paid_search,C,70-110k,NY,35-44
230,2023-04-14,paid_search,C,<40k,NY,18-24
231,2023-04-09,organic,C,70-110k,Other,45-54
232,2023-04-20,organic,B,40-70k,NJ,35-44
233,2023-04-11,partnership,A,110k+,Other,25-34
234,2023-04-17,paid_search,B,<40k,Other,55+
235,2023-04-12,referral,C,40-70k,NY,25-34
236,2023-04-10,affiliate,A,40-70k,NY,55+
237,2023-04-30,organic,A,40-70k,Other,35-44
238,2023-04-11,organic,B,70-110k,Other,35-44
239,2023-04-03,paid_search,B,70-110k,NJ,25-34
240,2023-04-12,referral,A,40-70k,Other,25-34
241,2023-04-16,paid_search,A,40-70k,Other,25-34
242,2023-04-03,paid_search,B,70-110k,NY,45-54
243,2023-04-10,referral,A,40-70k,Other,55+
244,2023-04-05,referral,A,70-110k,NY,35-44
245,2023-04-16,paid_search,B,70-110k,Other,25-34
246,2023-04-22,organic,B,70-110k,Other,18-24
247,2023-04-30,organic,A,40-70k,NY,25-34
248,2023-04-12,organic,A,70-110k,NY,45-54
249,2023-04-26,paid_search,B,70-110k,NJ,35-44
250,2023-04-07,affiliate,B,110k+,NJ,35-44
251,2023-04-24,partnership,B,70-110k,NY,35-44
252,2023-04-17,paid_search,B,110k+,NJ,35-44
253,2023-04-23,affiliate,D,40-70k,NY,25-34
254,2023-04-23,paid_search,A,<40k,NJ,45-54
255,2023-04-16,partnership,B,<40k,Other,25-34
256,2023-04-08,affiliate,D,<40k,Other,25-34
257,2023-04-16,partnership,B,40-70k,Other,25-34
258,2023-04-25,referral,C,40-70k,Other,45-54
259,2023-04-30,paid_search,D,<40k,NY,25-34
260,2023-04-28,organic,A,70-110k,Other,55+
261,2023-04-06,paid_search,B,70-110k,Other,55+
262,2023-04-18,paid_search,A,70-110k,Other,25-34
263,2023-04-04,referral,A,110k+,Other,55+
264,2023-04-21,paid_search,C,<40k,NY,35-44
265,2023-04-30,partnership,B,40-70k,Other,25-34
266,2023-04-02,affiliate,C,40-70k,NY,25-34
267,2023-04-20,organic,A,110k+,NJ,25-34
268,2023-04-29,paid_search,C,40-70k,NY,25-34
269,2023-04-26,affiliate,A,70-110k,NY,18-24
270,2023-04-12,affiliate,A,70-110k,NY,45-54
271,2023-04-04,paid_search,A,70-110k,NJ,25-34
272,2023-04-28,paid_search,A,110k+,Other,18-24
273,2023-04-28,partnership,A,110k+,Other,25-34
274,2023-04-18,organic,A,70-110k,Other,35-44
275,2023-04-30,referral,C,40-70k,NY,35-44
276,2023-04-01,organic,A,40-70k,NY,25-34
277,2023-04-19,organic,B,<40k,NJ,35-44
278,2023-04-02,paid_search,B,70-110k,Other,45-54
279,2023-04-29,paid_search,A,70-110k,Other,25-34
280,2023-04-21,paid_search,A,40-70k,NJ,25-34
281,2023-04-28,paid_search,A,110k+,Other,25-34
282,2023-04-17,referral,C,<40k,Other,55+
283,2023-04-03,paid_search,A,70-110k,Other,55+
284,2023-04-01,paid_search,D,40-70k,NY,45-54
285,2023-04-11,paid_search,B,70-110k,NJ,35-44
286,2023-04-23,organic,A,70-110k,NY,45-54
287,2023-04-05,affiliate,C,40-70k,NJ,25-34
288,2023-04-26,paid_search,D,40-70k,NY,25-34
289,2023-04-08,affiliate,A,70-110k,Other,45-54
290,2023-04-15,organic,A,110k+,NY,45-54
291,2023-04-07,referral,A,70-110k,Other,25-34
292,2023-04-14,paid_search,B,110k+,NY,18-24
293,2023-04-14,partnership,B,40-70k,NY,35-44
294,2023-04-01,paid_search,C,40-70k,NY,45-54
295,2023-04-18,organic,B,70-110k,NJ,55+
296,2023-04-24,partnership,B,<40k,Other,35-44
297,2023-04-29,affiliate,A,40-70k,Other,18-24
298,2023-04-10,partnership,A,40-70k,NJ,25-34
299,2023-04-27,paid_search,B,40-70k,NY,35-44
300,2023-04-27,affiliate,A,70-110k,NY,18-24
301,2023-04-30,partnership,A,70-110k,NJ,45-54
302,2023-04-12,affiliate,A,70-110k,Other,18-24
303,2023-04-26,paid_search,B,40-70k,NJ,18-24
304,2023-04-17,affiliate,C,110k+,NY,35-44
305,2023-04-02,affiliate,C,40-70k,Other,35-44
306,2023-04-09,referral,C,110k+,NY,25-34
307,2023-04-21,paid_search,B,<40k,NY,55+
308,2023-04-05,paid_search,A,70-110k,Other,25-34
309,2023-04-14,partnership,B,110k+,NJ,25-34
310,2023-04-24,paid_search,A,110k+,NY,35-44
311,2023-04-05,partnership,A,70-110k,Other,35-44
312,2023-04-15,paid_search,D,<40k,NJ,45-54
313,2023-04-07,paid_search,B,40-70k,Other,25-34
314,2023-04-17,partnership,B,110k+,NY,25-34
315,2023-04-08,organic,A,40-70k,NY,35-44
316,2023-04-29,paid_search,A,70-110k,NY,25-34
317,2023-04-03,affiliate,A,70-110k,NJ,25-34
318,2023-04-29,partnership,C,40-70k,NY,55+
319,2023-04-24,partnership,A,<40k,NJ,25-34
320,2023-04-26,paid_search,A,70-110k,NY,45-54
321,2023-04-26,organic,C,40-70k,Other,45-54
322,2023-04-06,referral,D,<40k,NY,35-44
323,2023-04-28,organic,B,<40k,Other,18-24
324,2023-04-18,paid_search,D,<40k,NY,18-24
325,2023-04-29,paid_search,A,40-70k,NY,25-34
326,2023-04-27,paid_search,A,40-70k,NJ,25-34
327,2023-04-18,partnership,A,<40k,NY,25-34
328,2023-04-12,partnership,C,110k+,Other,35-44
329,2023-04-04,affiliate,B,40-70k,Other,45-54
330,2023-04-04,organic,C,70-110k,NJ,45-54
331,2023-04-12,paid_search,C,40-70k,Other,18-24
332,2023-04-25,paid_search,D,40-70k,NY,35-44
333,2023-04-16,organic,A,70-110k,Other,35-44
334,2023-04-15,paid_search,C,<40k,NY,25-34
335,2023-04-08,paid_search,A,70-110k,NY,25-34
336,2023-04-17,organic,A,110k+,NY,55+
337,2023-04-20,affiliate,B,40-70k,NJ,25-34
338,2023-04-30,affiliate,A,70-110k,NY,25-34
339,2023-04-22,organic,B,40-70k,Other,25-34
340,2023-04-19,paid_search,D,40-70k,Other,45-54
341,2023-04-28,partnership,A,70-110k,NY,45-54
342,2023-04-13,partnership,B,40-70k,Other,18-24
343,2023-04-29,partnership,B,70-110k,NY,35-44
344,2023-04-12,paid_search,C,<40k,NJ,25-34
345,2023-04-04,partnership,B,<40k,Other,55+
346,2023-04-13,paid_search,A,40-70k,Other,45-54
347,2023-04-04,paid_search,B,<40k,NY,55+
348,2023-04-04,organic,A,110k+,NJ,55+
349,2023-04-27,paid_search,A,<40k,Other,55+
350,2023-04-24,paid_search,A,40-70k,NJ,25-34
351,2023-04-07,paid_search,A,110k+,NY,35-44
352,2023-04-26,partnership,A,<40k,Other,25-34
353,2023-04-03,paid_search,B,<40k,Other,45-54
354,2023-04-09,paid_search,C,<40k,NY,25-34
355,2023-04-22,organic,B,40-70k,NY,25-34
356,2023-04-10,paid_search,A,40-70k,NY,25-34
357,2023-04-22,paid_search,B,40-70k,NY,35-44
358,2023-04-27,paid_search,C,40-70k,Other,55+
359,2023-04-02,paid_search,B,110k+,Other,18-24
360,2023-04-01,partnership,A,70-110k,Other,25-34
361,2023-04-29,referral,A,70-110k,NY,45-54
362,2023-04-16,paid_search,B,70-110k,Other,35-44
363,2023-04-16,affiliate,B,70-110k,Other,45-54
364,2023-04-14,partnership,A,70-110k,NY,45-54
365,2023-04-14,referral,B,40-70k,NY,25-34
366,2023-04-21,affiliate,B,40-70k,NY,45-54
367,2023-04-18,partnership,C,<40k,NY,55+
368,2023-04-05,partnership,B,70-110k,NY,25-34
369,2023-04-19,partnership,A,70-110k,NY,18-24
370,2023-04-21,paid_search,B,110k+,Other,35-44
371,2023-04-04,organic,A,70-110k,NY,35-44
372,2023-04-12,organic,A,70-110k,Other,55+
373,2023-04-24,paid_search,A,40-70k,NY,25-34
374,2023-04-19,paid_search,A,40-70k,Other,35-44
375,2023-04-05,paid_search,C,<40k,NY,25-34
376,2023-04-02,affiliate,A,40-70k,Other,25-34
377,2023-04-18,affiliate,A,70-110k,NJ,35-44
378,2023-04-14,partnership,A,110k+,NY,25-34
379,2023-04-29,organic,B,110k+,NY,35-44
380,2023-04-16,paid_search,A,40-70k,NY,45-54
381,2023-04-28,partnership,A,70-110k,NY,45-54
382,2023-04-07,partnership,C,<40k,NY,18-24
383,2023-04-14,referral,C,<40k,Other,25-34
384,2023-04-05,partnership,C,40-70k,NJ,55+
385,2023-04-18,partnership,A,110k+,NY,35-44
386,2023-04-06,paid_search,C,40-70k,Other,25-34
387,2023-04-15,paid_search,A,40-70k,NJ,35-44
388,2023-04-11,paid_search,A,40-70k,NY,25-34
389,2023-04-06,affiliate,A,110k+,Other,25-34
390,2023-04-03,referral,B,70-110k,NY,25-34
391,2023-04-16,paid_search,A,<40k,Other,55+
392,2023-04-29,affiliate,A,70-110k,NY,35-44
393,2023-04-06,paid_search,C,40-70k,NY,35-44
394,2023-04-13,organic,D,<40k,NY,25-34
395,2023-04-07,paid_search,B,70-110k,Other,45-54
396,2023-04-25,organic,C,70-110k,NY,35-44
397,2023-04-13,referral,A,40-70k,Other,35-44
398,2023-04-30,paid_search,D,40-70k,NJ,35-44
399,2023-04-08,partnership,A,40-70k,NJ,18-24
400,2023-04-03,affiliate,D,<40k,NY,45-54
401,2023-04-18,organic,A,110k+,Other,18-24
402,2023-04-20,organic,B,70-110k,Other,45-54
403,2023-04-30,partnership,B,70-110k,NY,35-44
404,2023-04-27,paid_search,D,40-70k,Other,25-34
405,2023-04-27,partnership,C,110k+,NY,25-34
406,2023-04-20,organic,B,40-70k,Other,18-24
407,2023-04-11,affiliate,A,70-110k,Other,35-44
408,2023-04-13,partnership,B,70-110k,Other,35-44
409,2023-04-05,paid_search,B,70-110k,NY,25-34
410,2023-04-13,paid_search,B,110k+,Other,18-24
411,2023-04-11,referral,B,40-70k,Other,45-54
412,2023-04-02,paid_search,B,70-110k,NY,25-34
413,2023-04-07,paid_search,C,70-110k,NJ,25-34
414,2023-04-17,paid_search,A,40-70k,NY,25-34
415,2023-04-12,paid_search,D,40-70k,NY,18-24
416,2023-04-30,partnership,A,110k+,NJ,45-54
417,2023-04-15,partnership,C,<40k,Other,55+
418,2023-04-29,paid_search,A,<40k,Other,45-54
419,2023-04-20,partnership,B,70-110k,NY,45-54
420,2023-04-02,paid_search,B,<40k,Other,55+
421,2023-04-07,organic,C,<40k,NY,55+
422,2023-04-22,affiliate,D,40-70k,Other,35-44
423,2023-04-17,referral,A,<40k,NY,25-34
424,2023-04-10,organic,C,<40k,NY,35-44
425,2023-04-16,paid_search,A,40-70k,Other,25-34
426,2023-04-28,paid_search,B,110k+,NY,55+
427,2023-04-12,partnership,C,70-110k,Other,35-44
428,2023-04-02,organic,B,70-110k,NY,55+
429,2023-04-10,paid_search,B,70-110k,NY,18-24
430,2023-04-29,partnership,B,40-70k,NJ,25-34
431,2023-04-23,paid_search,A,70-110k,NY,55+
432,2023-04-26,organic,A,40-70k,NY,35-44
433,2023-04-28,paid_search,B,70-110k,Other,25-34
434,2023-04-04,paid_search,B,<40k,NY,35-44
435,2023-04-09,paid_search,A,70-110k,Other,45-54
436,2023-04-02,partnership,B,70-110k,NJ,18-24
437,2023-04-01,affiliate,A,70-110k,Other,18-24
438,2023-04-26,affiliate,B,70-110k,Other,35-44
439,2023-04-29,referral,B,70-110k,Other,25-34
440,2023-04-05,paid_search,D,<40k,Other,18-24
441,2023-04-22,paid_search,A,<40k,NJ,25-34
442,2023-04-17,partnership,A,70-110k,NJ,45-54
443,2023-04-03,paid_search,C,40-70k,NY,25-34
444,2023-04-28,partnership,C,<40k,NJ,55+
445,2023-04-27,partnership,D,40-70k,Other,25-34
446,2023-04-18,organic,B,<40k,NY,35-44
447,2023-04-22,paid_search,A,70-110k,NY,45-54
448,2023-04-12,paid_search,C,40-70k,Other,25-34
449,2023-04-24,organic,A,40-70k,Other,45-54
450,2023-04-14,paid_search,C,70-110k,Other,25-34
451,2023-04-30,paid_search,D,40-70k,NJ,35-44
452,2023-05-02,referral,B,40-70k,NJ,55+
453,2023-05-11,organic,A,110k+,NY,35-44
454,2023-05-11,affiliate,D,<40k,Other,35-44
455,2023-05-02,paid_search,B,<40k,NJ,35-44
456,2023-05-09,partnership,B,<40k,NY,45-54
457,2023-05-21,paid_search,A,70-110k,Other,18-24
458,2023-05-08,paid_search,A,70-110k,NY,35-44
459,2023-05-31,organic,B,70-110k,NY,35-44
460,2023-05-03,partnership,B,40-70k,Other,45-54
461,2023-05-19,partnership,B,40-70k,NY,18-24
462,2023-05-16,organic,A,<40k,Other,25-34
463,2023-05-26,paid_search,C,<40k,NY,25-34
464,2023-05-28,partnership,A,110k+,Other,45-54
465,2023-05-17,organic,A,70-110k,NY,55+
466,2023-05-20,paid_search,B,40-70k,NY,18-24
467,2023-05-22,affiliate,A,110k+,Other,55+
468,2023-05-17,paid_search,A,70-110k,NY,35-44
469,2023-05-06,paid_search,A,40-70k,Other,25-34
470,2023-05-14,paid_search,B,70-110k,NY,55+
471,2023-05-08,organic,B,70-110k,Other,45-54
472,2023-05-15,paid_search,B,110k+,Other,25-34
473,2023-05-20,affiliate,A,70-110k,NY,25-34
474,2023-05-07,affiliate,A,70-110k,NY,35-44
475,2023-05-08,organic,B,70-110k,NY,35-44
476,2023-05-26,partnership,B,40-70k,Other,25-34
477,2023-05-12,organic,D,<40k,Other,35-44
478,2023-05-07,partnership,A,70-110k,NY,45-54
479,2023-05-23,paid_search,B,<40k,NY,45-54
480,2023-05-23,partnership,A,110k+,Other,35-44
481,2023-05-26,paid_search,A,70-110k,Other,18-24
482,2023-05-24,organic,A,40-70k,NJ,45-54
483,2023-05-31,paid_search,B,70-110k,NY,25-34
484,2023-05-18,organic,A,110k+,Other,25-34
485,2023-05-09,paid_search,C,<40k,NY,25-34
486,2023-05-27,partnership,D,40-70k,Other,18-24
487,2023-05-09,partnership,A,70-110k,NY,55+
488,2023-05-10,organic,B,40-70k,Other,55+
489,2023-05-26,partnership,B,70-110k,Other,25-34
490,2023-05-28,partnership,C,<40k,Other,45-54
491,2023-05-11,partnership,B,40-70k,Other,25-34
492,2023-05-23,affiliate,A,40-70k,Other,25-34
493,2023-05-29,affiliate,A,110k+,NY,25-34
494,2023-05-25,paid_search,A,40-70k,Other,25-34
495,2023-05-01,affiliate,A,110k+,Other,45-54
496,2023-05-21,partnership,C,70-110k,NY,35-44
497,2023-05-06,organic,B,40-70k,NY,18-24
498,2023-05-27,paid_search,B,70-110k,Other,25-34
499,2023-05-03,organic,A,70-110k,Other,55+
500,2023-05-31,referral,C,70-110k,Other,55+
501,2023-05-06,paid_search,B,<40k,NY,25-34
502,2023-05-14,affiliate,A,40-70k,Other,25-34
503,2023-05-08,partnership,D,40-70k,Other,35-44
504,2023-05-26,referral,A,70-110k,NY,55+
505,2023-05-13,organic,A,40-70k,Other,35-44
506,2023-05-24,partnership,B,70-110k,NY,35-44
507,2023-05-03,partnership,A,40-70k,NY,25-34
508,2023-05-15,organic,A,70-110k,NY,25-34
509,2023-05-29,partnership,B,<40k,Other,55+
510,2023-05-29,paid_search,B,110k+,NY,18-24
511,2023-05-07,affiliate,C,70-110k,Other,18-24
512,2023-05-13,paid_search,C,40-70k,NY,25-34
513,2023-05-13,paid_search,D,<40k,Other,35-44
514,2023-05-18,organic,B,70-110k,Other,25-34
515,2023-05-17,organic,A,70-110k,NY,25-34
516,2023-05-04,organic,A,40-70k,NY,18-24
517,2023-05-24,affiliate,D,<40k,Other,55+
