customer_id,first_loan_id,first_loan_date,second_loan_id,second_loan_date,daydate_180,inactive_flag,acquisition_channel,risk_tier_at_signup,income_band,age_band,region
37,592,2024-02-13,NULL,NULL,2024-08-11,1,paid_search,B,70-110k,18-24,Other
39,6,2023-01-20,NULL,NULL,2023-07-19,1,affiliate,C,40-70k,55+,NY
40,22,2023-02-19,NULL,NULL,2023-08-18,1,organic,B,40-70k,25-34,NY
41,193,2023-09-28,7186,2023-11-18,2024-03-26,0,paid_search,A,40-70k,25-34,Other
42,9,2023-01-26,NULL,NULL,2023-07-25,1,affiliate,A,70-110k,55+,Other
43,2,2023-01-30,NULL,NULL,2023-07-29,1,affiliate,C,40-70k,55+,NY
45,4771,2025-08-20,NULL,NULL,2026-02-16,NULL,partnership,B,<40k,35-44,Other
46,28,2023-02-16,7187,2023-02-23,2023-08-15,0,organic,A,110k+,45-54,NJ
47,3465,2025-04-25,7188,2025-10-12,2025-10-22,0,paid_search,B,70-110k,55+,NY
48,185,2023-09-02,7189,2023-12-19,2024-02-29,0,organic,A,70-110k,35-44,Other
50,1635,2024-09-12,7190,2025-02-06,2025-03-11,0,paid_search,B,<40k,25-34,NY
51,20,2023-02-05,NULL,NULL,2023-08-04,1,partnership,A,70-110k,35-44,Other
53,1244,2024-07-28,7191,2024-10-21,2025-01-24,0,organic,A,<40k,35-44,NJ
54,37,2023-03-22,NULL,NULL,2023-09-18,1,organic,A,70-110k,35-44,Other
55,24,2023-02-27,NULL,NULL,2023-08-26,1,organic,B,70-110k,45-54,NY
56,27,2023-02-03,7192,2023-03-24,2023-08-02,0,affiliate,B,40-70k,25-34,Other
57,164,2023-08-14,7193,2024-01-04,2024-02-10,0,partnership,B,70-110k,55+,Other
58,268,2023-10-29,NULL,NULL,2024-04-26,1,paid_search,B,40-70k,25-34,Other
60,238,2023-10-03,NULL,NULL,2024-03-31,1,organic,C,<40k,25-34,NY
61,172,2023-08-05,NULL,NULL,2024-02-01,1,partnership,A,40-70k,18-24,Other
62,114,2023-06-28,NULL,NULL,2023-12-25,1,partnership,C,70-110k,25-34,NY
65,5594,2025-10-10,NULL,NULL,2026-04-08,NULL,partnership,B,40-70k,18-24,Other
66,39,2023-03-22,7194,2023-05-10,2023-09-18,0,organic,A,70-110k,25-34,NY
67,278,2023-10-31,NULL,NULL,2024-04-28,1,paid_search,C,110k+,45-54,Other
69,18,2023-02-24,NULL,NULL,2023-08-23,1,paid_search,A,70-110k,35-44,NJ
70,1242,2024-07-26,NULL,NULL,2025-01-22,1,partnership,A,40-70k,18-24,Other
72,1723,2024-10-23,NULL,NULL,2025-04-21,1,partnership,B,<40k,45-54,NY
74,21,2023-02-11,7195,2023-06-06,2023-08-10,0,partnership,A,40-70k,25-34,NJ
77,2078,2024-11-25,7196,2025-03-30,2025-05-24,0,affiliate,A,70-110k,18-24,NJ
79,47,2023-03-04,NULL,NULL,2023-08-31,1,affiliate,A,40-70k,55+,NY
80,32,2023-03-24,7197,2023-07-08,2023-09-20,0,organic,A,40-70k,18-24,Other
81,25,2023-02-04,7198,2023-07-14,2023-08-03,0,affiliate,A,70-110k,55+,Other
82,2227,2024-12-16,NULL,NULL,2025-06-14,1,organic,B,40-70k,55+,Other
84,143,2023-07-24,NULL,NULL,2024-01-20,1,affiliate,A,70-110k,35-44,NJ
85,230,2023-10-19,7199,2023-11-26,2024-04-16,0,organic,B,110k+,25-34,Other
87,149,2023-08-16,NULL,NULL,2024-02-12,1,paid_search,B,70-110k,55+,NY
89,6963,2025-12-21,NULL,NULL,2026-06-19,NULL,paid_search,A,70-110k,18-24,Other
90,42,2023-03-03,NULL,NULL,2023-08-30,1,organic,A,110k+,25-34,Other
91,159,2023-08-13,NULL,NULL,2024-02-09,1,paid_search,C,70-110k,35-44,NJ
92,668,2024-03-23,7200,2024-05-24,2024-09-19,0,affiliate,A,<40k,25-34,Other
94,44,2023-03-10,7201,2023-09-06,2023-09-06,0,paid_search,A,110k+,35-44,NY
97,5806,2025-10-11,NULL,NULL,2026-04-09,NULL,affiliate,B,<40k,35-44,Other
100,169,2023-08-24,NULL,NULL,2024-02-20,1,paid_search,A,110k+,25-34,Other
103,459,2023-12-28,NULL,NULL,2024-06-25,1,paid_search,B,<40k,45-54,Other
107,2638,2025-01-13,NULL,NULL,2025-07-12,1,paid_search,B,40-70k,55+,Other
108,3228,2025-04-16,NULL,NULL,2025-10-13,1,paid_search,B,40-70k,25-34,NY
109,2594,2025-01-02,7202,2025-03-09,2025-07-01,0,paid_search,A,40-70k,25-34,Other
110,70,2023-05-20,NULL,NULL,2023-11-16,1,organic,C,<40k,45-54,NY
111,2399,2024-12-11,7203,2025-02-15,2025-06-09,0,partnership,C,<40k,25-34,NY
112,1970,2024-11-27,7204,2025-01-10,2025-05-26,0,paid_search,B,40-70k,18-24,NY
113,63,2023-04-02,7205,2023-05-04,2023-09-29,0,affiliate,B,110k+,35-44,Other
114,78,2023-05-19,NULL,NULL,2023-11-15,1,partnership,A,40-70k,45-54,NY
117,46,2023-03-07,NULL,NULL,2023-09-03,1,paid_search,B,<40k,35-44,Other
118,5157,2025-09-02,NULL,NULL,2026-03-01,NULL,referral,B,<40k,25-34,NY
119,829,2024-04-16,7206,2024-07-01,2024-10-13,0,affiliate,C,40-70k,25-34,Other
120,35,2023-03-04,NULL,NULL,2023-08-31,1,partnership,A,40-70k,45-54,Other
121,3180,2025-04-10,NULL,NULL,2025-10-07,1,partnership,A,110k+,55+,NY
123,38,2023-03-15,7207,2023-04-26,2023-09-11,0,organic,A,70-110k,45-54,NY
125,1691,2024-10-28,7208,2024-12-18,2025-04-26,0,organic,A,40-70k,55+,NY
128,1604,2024-09-01,NULL,NULL,2025-02-28,1,paid_search,A,110k+,55+,NJ
129,128,2023-07-03,7209,2023-07-20,2023-12-30,0,paid_search,A,70-110k,25-34,NY
133,1510,2024-09-07,NULL,NULL,2025-03-06,1,organic,A,40-70k,25-34,Other
135,81,2023-05-20,7210,2023-08-16,2023-11-16,0,organic,B,70-110k,55+,NY
136,60,2023-04-27,NULL,NULL,2023-10-24,1,paid_search,B,70-110k,55+,NY
137,48,2023-03-08,7211,2023-05-27,2023-09-04,0,paid_search,A,<40k,25-34,NJ
138,1772,2024-10-14,7212,2024-12-08,2025-04-12,0,paid_search,A,70-110k,55+,NJ
139,304,2023-11-13,NULL,NULL,2024-05-11,1,organic,A,70-110k,35-44,NJ
140,282,2023-11-13,NULL,NULL,2024-05-11,1,organic,B,40-70k,25-34,Other
141,413,2023-12-19,NULL,NULL,2024-06-16,1,paid_search,A,70-110k,18-24,Other
142,397,2023-12-18,NULL,NULL,2024-06-15,1,organic,A,110k+,55+,Other
143,3410,2025-04-24,7213,2025-08-24,2025-10-21,0,affiliate,B,70-110k,55+,NY
144,5730,2025-10-28,NULL,NULL,2026-04-26,NULL,paid_search,A,70-110k,35-44,NJ
145,2598,2025-01-12,7214,2025-07-11,2025-07-11,0,paid_search,B,40-70k,25-34,Other
146,1812,2024-10-30,NULL,NULL,2025-04-28,1,paid_search,B,40-70k,25-34,NJ
147,163,2023-08-22,NULL,NULL,2024-02-18,1,paid_search,A,<40k,35-44,Other
148,4311,2025-07-14,NULL,NULL,2026-01-10,NULL,organic,B,<40k,25-34,NY
149,245,2023-10-08,7215,2023-11-21,2024-04-05,0,organic,B,110k+,35-44,NY
150,45,2023-03-17,NULL,NULL,2023-09-13,1,partnership,A,40-70k,25-34,NY
151,6864,2025-12-15,NULL,NULL,2026-06-13,NULL,organic,B,110k+,35-44,NY
155,3667,2025-05-22,NULL,NULL,2025-11-18,1,paid_search,B,40-70k,45-54,Other
156,5460,2025-10-25,NULL,NULL,2026-04-23,NULL,partnership,A,70-110k,35-44,NJ
157,5637,2025-10-11,NULL,NULL,2026-04-09,NULL,partnership,A,40-70k,55+,Other
158,1096,2024-06-30,NULL,NULL,2024-12-27,1,paid_search,C,110k+,45-54,Other
161,390,2023-12-27,NULL,NULL,2024-06-24,1,paid_search,A,40-70k,45-54,Other
162,486,2024-01-29,NULL,NULL,2024-07-27,1,affiliate,A,<40k,45-54,NY
163,5055,2025-09-27,NULL,NULL,2026-03-26,NULL,paid_search,C,<40k,18-24,Other
164,4813,2025-08-08,NULL,NULL,2026-02-04,NULL,paid_search,A,110k+,25-34,NY
165,31,2023-03-21,NULL,NULL,2023-09-17,1,partnership,A,70-110k,55+,Other
166,40,2023-03-05,NULL,NULL,2023-09-01,1,organic,A,40-70k,25-34,Other
167,138,2023-07-22,NULL,NULL,2024-01-18,1,paid_search,C,40-70k,45-54,NY
168,90,2023-05-22,NULL,NULL,2023-11-18,1,affiliate,A,70-110k,35-44,Other
169,151,2023-08-14,NULL,NULL,2024-02-10,1,organic,B,70-110k,55+,Other
170,832,2024-04-04,NULL,NULL,2024-10-01,1,organic,B,<40k,55+,Other
171,3361,2025-04-08,7216,2025-06-18,2025-10-05,0,organic,A,70-110k,18-24,NJ
172,265,2023-10-29,NULL,NULL,2024-04-26,1,partnership,B,40-70k,45-54,Other
176,54,2023-04-11,7217,2023-05-20,2023-10-08,0,organic,A,<40k,25-34,NY
177,2759,2025-02-01,NULL,NULL,2025-07-31,1,affiliate,C,<40k,45-54,Other
178,3143,2025-03-26,NULL,NULL,2025-09-22,1,paid_search,A,40-70k,45-54,Other
179,507,2024-01-17,NULL,NULL,2024-07-15,1,affiliate,B,70-110k,25-34,NY
180,34,2023-03-29,NULL,NULL,2023-09-25,1,affiliate,C,<40k,35-44,Other
182,1600,2024-09-21,NULL,NULL,2025-03-20,1,organic,A,70-110k,18-24,NY
185,924,2024-05-05,7218,2024-10-31,2024-11-01,0,organic,A,110k+,45-54,Other
186,2521,2025-01-08,NULL,NULL,2025-07-07,1,partnership,A,40-70k,25-34,Other
187,952,2024-05-09,NULL,NULL,2024-11-05,1,partnership,B,70-110k,45-54,Other
189,52,2023-04-12,NULL,NULL,2023-10-09,1,partnership,B,40-70k,45-54,NJ
190,41,2023-03-07,NULL,NULL,2023-09-03,1,paid_search,C,40-70k,25-34,NJ
191,2478,2025-01-25,7219,2025-03-04,2025-07-24,0,affiliate,B,40-70k,35-44,Other
192,332,2023-11-01,7220,2023-11-29,2024-04-29,0,referral,A,<40k,55+,NY
193,33,2023-03-16,7221,2023-06-11,2023-09-12,0,paid_search,B,<40k,35-44,Other
194,916,2024-05-02,NULL,NULL,2024-10-29,1,partnership,B,110k+,25-34,NY
196,59,2023-04-23,NULL,NULL,2023-10-20,1,partnership,A,40-70k,25-34,NJ
206,640,2024-03-10,NULL,NULL,2024-09-06,1,partnership,A,40-70k,45-54,NY
207,338,2023-11-15,NULL,NULL,2024-05-13,1,referral,B,110k+,25-34,Other
208,3681,2025-05-14,7222,2025-10-04,2025-11-10,0,paid_search,A,40-70k,55+,NY
209,1685,2024-10-30,NULL,NULL,2025-04-28,1,organic,A,40-70k,25-34,Other
210,707,2024-03-31,NULL,NULL,2024-09-27,1,paid_search,A,40-70k,45-54,Other
212,157,2023-08-10,NULL,NULL,2024-02-06,1,organic,A,<40k,25-34,Other
213,139,2023-07-18,7223,2023-10-17,2024-01-14,0,partnership,B,70-110k,45-54,NY
214,811,2024-04-04,NULL,NULL,2024-10-01,1,affiliate,D,40-70k,45-54,NJ
216,3015,2025-03-09,7224,2025-08-06,2025-09-05,0,referral,A,<40k,35-44,NY
217,225,2023-09-05,7225,2023-10-26,2024-03-03,0,partnership,B,70-110k,45-54,NJ
218,61,2023-04-18,NULL,NULL,2023-10-15,1,referral,C,<40k,35-44,Other
219,161,2023-08-19,NULL,NULL,2024-02-15,1,organic,B,40-70k,55+,Other
220,418,2023-12-27,NULL,NULL,2024-06-24,1,partnership,B,110k+,25-34,Other
221,1630,2024-09-03,7226,2024-12-25,2025-03-02,0,affiliate,B,40-70k,18-24,Other
222,765,2024-04-29,7227,2024-06-11,2024-10-26,0,affiliate,B,110k+,45-54,NY
223,6843,2025-12-01,NULL,NULL,2026-05-30,NULL,partnership,A,110k+,25-34,Other
224,854,2024-04-10,NULL,NULL,2024-10-07,1,referral,B,40-70k,35-44,Other
226,194,2023-09-12,NULL,NULL,2024-03-10,1,paid_search,B,40-70k,25-34,NY
228,4063,2025-06-03,7228,2025-07-25,2025-11-30,0,paid_search,A,70-110k,45-54,NY
232,2036,2024-11-25,7229,2025-01-16,2025-05-24,0,organic,B,40-70k,35-44,NJ
233,1481,2024-09-05,NULL,NULL,2025-03-04,1,partnership,A,110k+,25-34,Other
234,4966,2025-08-22,NULL,NULL,2026-02-18,NULL,paid_search,B,<40k,55+,Other
236,5918,2025-10-24,NULL,NULL,2026-04-22,NULL,affiliate,A,40-70k,55+,NY
237,564,2024-02-13,NULL,NULL,2024-08-11,1,organic,A,40-70k,35-44,Other
238,135,2023-07-15,NULL,NULL,2024-01-11,1,organic,B,70-110k,35-44,Other
239,1996,2024-11-01,7230,2024-12-25,2025-04-30,0,paid_search,B,70-110k,25-34,NJ
243,1382,2024-08-15,NULL,NULL,2025-02-11,1,referral,A,40-70k,55+,Other
244,110,2023-06-16,NULL,NULL,2023-12-13,1,referral,A,70-110k,35-44,NY
246,570,2024-02-04,NULL,NULL,2024-08-02,1,organic,B,70-110k,18-24,Other
247,2703,2025-02-16,7231,2025-06-11,2025-08-15,0,organic,A,40-70k,25-34,NY
249,312,2023-11-27,7232,2024-05-01,2024-05-25,0,paid_search,B,70-110k,35-44,NJ
250,2539,2025-01-13,NULL,NULL,2025-07-12,1,affiliate,B,110k+,35-44,NJ
251,738,2024-03-14,7233,2024-05-01,2024-09-10,0,partnership,B,70-110k,35-44,NY
252,88,2023-05-03,NULL,NULL,2023-10-30,1,paid_search,B,110k+,35-44,NJ
254,1892,2024-11-26,7234,2025-01-04,2025-05-25,0,paid_search,A,<40k,45-54,NJ
255,102,2023-06-26,NULL,NULL,2023-12-23,1,partnership,B,<40k,25-34,Other
258,2895,2025-03-18,NULL,NULL,2025-09-14,1,referral,C,40-70k,45-54,Other
260,58,2023-04-23,7235,2023-06-14,2023-10-20,0,organic,A,70-110k,55+,Other
262,2041,2024-11-14,NULL,NULL,2025-05-13,1,paid_search,A,70-110k,25-34,Other
267,122,2023-07-17,NULL,NULL,2024-01-13,1,organic,A,110k+,25-34,NJ
269,2112,2024-11-26,7236,2025-01-04,2025-05-25,0,affiliate,A,70-110k,18-24,NY
270,501,2024-01-23,NULL,NULL,2024-07-21,1,affiliate,A,70-110k,45-54,NY
271,1344,2024-08-17,7237,2024-12-05,2025-02-13,0,paid_search,A,70-110k,25-34,NJ
272,49,2023-04-22,7238,2023-06-14,2023-10-19,0,paid_search,A,110k+,18-24,Other
273,702,2024-03-16,7239,2024-06-02,2024-09-12,0,partnership,A,110k+,25-34,Other
274,1567,2024-09-20,7240,2024-12-10,2025-03-19,0,organic,A,70-110k,35-44,Other
276,6922,2025-12-11,NULL,NULL,2026-06-09,NULL,organic,A,40-70k,25-34,NY
278,1950,2024-11-17,7241,2025-02-03,2025-05-16,0,paid_search,B,70-110k,45-54,Other
279,1517,2024-09-03,NULL,NULL,2025-03-02,1,paid_search,A,70-110k,25-34,Other
280,395,2023-12-29,NULL,NULL,2024-06-26,1,paid_search,A,40-70k,25-34,NJ
281,1251,2024-07-18,7242,2024-09-07,2025-01-14,0,paid_search,A,110k+,25-34,Other
282,3713,2025-05-06,NULL,NULL,2025-11-02,1,referral,C,<40k,55+,Other
283,53,2023-04-21,NULL,NULL,2023-10-18,1,paid_search,A,70-110k,55+,Other
286,1021,2024-06-15,7243,2024-11-20,2024-12-12,0,organic,A,70-110k,45-54,NY
290,321,2023-11-18,NULL,NULL,2024-05-16,1,organic,A,110k+,45-54,NY
291,173,2023-08-31,7244,2024-02-27,2024-02-27,0,referral,A,70-110k,25-34,Other
293,1676,2024-10-26,7245,2025-01-02,2025-04-24,0,partnership,B,40-70k,35-44,NY
296,4124,2025-06-29,7246,2025-11-18,2025-12-26,0,partnership,B,<40k,35-44,Other
297,178,2023-08-16,NULL,NULL,2024-02-12,1,affiliate,A,40-70k,18-24,Other
298,661,2024-03-01,7247,2024-04-26,2024-08-28,0,partnership,A,40-70k,25-34,NJ
300,190,2023-09-26,NULL,NULL,2024-03-24,1,affiliate,A,70-110k,18-24,NY
301,146,2023-08-30,NULL,NULL,2024-02-26,1,partnership,A,70-110k,45-54,NJ
302,1801,2024-10-09,7248,2024-12-31,2025-04-07,0,affiliate,A,70-110k,18-24,Other
307,103,2023-06-18,7249,2023-07-27,2023-12-15,0,paid_search,B,<40k,55+,NY
308,1002,2024-06-19,NULL,NULL,2024-12-16,1,paid_search,A,70-110k,25-34,Other
309,3621,2025-05-02,NULL,NULL,2025-10-29,1,partnership,B,110k+,25-34,NJ
310,281,2023-10-03,NULL,NULL,2024-03-31,1,paid_search,A,110k+,35-44,NY
312,710,2024-03-24,NULL,NULL,2024-09-20,1,paid_search,D,<40k,45-54,NJ
313,4817,2025-08-19,NULL,NULL,2026-02-15,NULL,paid_search,B,40-70k,25-34,Other
314,147,2023-08-01,NULL,NULL,2024-01-28,1,partnership,B,110k+,25-34,NY
315,217,2023-09-21,7250,2024-01-24,2024-03-19,0,organic,A,40-70k,35-44,NY
316,1111,2024-06-23,7251,2024-12-12,2024-12-20,0,paid_search,A,70-110k,25-34,NY
317,4534,2025-07-10,NULL,NULL,2026-01-06,NULL,affiliate,A,70-110k,25-34,NJ
318,62,2023-04-11,NULL,NULL,2023-10-08,1,partnership,C,40-70k,55+,NY
319,1281,2024-07-22,7252,2024-09-18,2025-01-18,0,partnership,A,<40k,25-34,NJ
320,1879,2024-11-05,NULL,NULL,2025-05-04,1,paid_search,A,70-110k,45-54,NY
323,1360,2024-08-21,NULL,NULL,2025-02-17,1,organic,B,<40k,18-24,Other
325,600,2024-02-15,NULL,NULL,2024-08-13,1,paid_search,A,40-70k,25-34,NY
326,2609,2025-01-04,7253,2025-02-15,2025-07-03,0,paid_search,A,40-70k,25-34,NJ
327,99,2023-06-23,NULL,NULL,2023-12-20,1,partnership,A,<40k,25-34,NY
329,1295,2024-08-09,NULL,NULL,2025-02-05,1,affiliate,B,40-70k,45-54,Other
331,715,2024-03-19,7254,2024-06-17,2024-09-15,0,paid_search,C,40-70k,18-24,Other
333,71,2023-05-19,NULL,NULL,2023-11-15,1,organic,A,70-110k,35-44,Other
334,175,2023-08-08,NULL,NULL,2024-02-04,1,paid_search,C,<40k,25-34,NY
335,2004,2024-11-20,NULL,NULL,2025-05-19,1,paid_search,A,70-110k,25-34,NY
336,4538,2025-07-03,NULL,NULL,2025-12-30,1,organic,A,110k+,55+,NY
338,485,2024-01-04,7255,2024-02-22,2024-07-02,0,affiliate,A,70-110k,25-34,NY
339,229,2023-10-12,NULL,NULL,2024-04-09,1,organic,B,40-70k,25-34,Other
341,5610,2025-10-13,NULL,NULL,2026-04-11,NULL,partnership,A,70-110k,45-54,NY
342,6462,2025-11-03,NULL,NULL,2026-05-02,NULL,partnership,B,40-70k,18-24,Other
346,64,2023-04-13,7256,2023-07-07,2023-10-10,0,paid_search,A,40-70k,45-54,Other
348,963,2024-05-18,NULL,NULL,2024-11-14,1,organic,A,110k+,55+,NJ
349,465,2023-12-17,NULL,NULL,2024-06-14,1,paid_search,A,<40k,55+,Other
350,763,2024-04-26,NULL,NULL,2024-10-23,1,paid_search,A,40-70k,25-34,NJ
351,83,2023-05-22,NULL,NULL,2023-11-18,1,paid_search,A,110k+,35-44,NY
352,1318,2024-08-08,NULL,NULL,2025-02-04,1,partnership,A,<40k,25-34,Other
354,76,2023-05-22,7257,2023-07-28,2023-11-18,0,paid_search,C,<40k,25-34,NY
355,432,2023-12-18,NULL,NULL,2024-06-15,1,organic,B,40-70k,25-34,NY
356,220,2023-09-01,7258,2023-10-26,2024-02-28,0,paid_search,A,40-70k,25-34,NY
357,4371,2025-07-24,NULL,NULL,2026-01-20,NULL,paid_search,B,40-70k,35-44,NY
360,5401,2025-09-12,NULL,NULL,2026-03-11,NULL,partnership,A,70-110k,25-34,Other
361,57,2023-04-28,NULL,NULL,2023-10-25,1,referral,A,70-110k,45-54,NY
362,207,2023-09-22,NULL,NULL,2024-03-20,1,paid_search,B,70-110k,35-44,Other
363,51,2023-04-16,7259,2023-06-15,2023-10-13,0,affiliate,B,70-110k,45-54,Other
365,6126,2025-11-07,NULL,NULL,2026-05-06,NULL,referral,B,40-70k,25-34,NY
366,778,2024-04-09,NULL,NULL,2024-10-06,1,affiliate,B,40-70k,45-54,NY
367,2867,2025-02-09,7260,2025-05-31,2025-08-08,0,partnership,C,<40k,55+,NY
369,1325,2024-08-29,NULL,NULL,2025-02-25,1,partnership,A,70-110k,18-24,NY
370,67,2023-05-17,NULL,NULL,2023-11-13,1,paid_search,B,110k+,35-44,Other
371,416,2023-12-15,7261,2024-03-16,2024-06-12,0,organic,A,70-110k,35-44,NY
372,352,2023-11-07,7262,2024-01-21,2024-05-05,0,organic,A,70-110k,55+,Other
373,1246,2024-07-29,NULL,NULL,2025-01-25,1,paid_search,A,40-70k,25-34,NY
374,3418,2025-04-21,7263,2025-05-28,2025-10-18,0,paid_search,A,40-70k,35-44,Other
376,112,2023-06-01,7264,2023-07-19,2023-11-28,0,affiliate,A,40-70k,25-34,Other
377,1631,2024-09-17,7265,2025-01-28,2025-03-16,0,affiliate,A,70-110k,35-44,NJ
378,3277,2025-04-15,NULL,NULL,2025-10-12,1,partnership,A,110k+,25-34,NY
380,82,2023-05-10,NULL,NULL,2023-11-06,1,paid_search,A,40-70k,45-54,NY
381,56,2023-04-19,NULL,NULL,2023-10-16,1,partnership,A,70-110k,45-54,NY
384,1127,2024-07-07,NULL,NULL,2025-01-03,1,partnership,C,40-70k,55+,NJ
388,645,2024-03-14,NULL,NULL,2024-09-10,1,paid_search,A,40-70k,25-34,NY
390,4958,2025-08-25,NULL,NULL,2026-02-21,NULL,referral,B,70-110k,25-34,NY
394,4461,2025-07-29,NULL,NULL,2026-01-25,NULL,organic,D,<40k,25-34,NY
395,491,2024-01-10,NULL,NULL,2024-07-08,1,paid_search,B,70-110k,45-54,Other
397,153,2023-08-27,NULL,NULL,2024-02-23,1,referral,A,40-70k,35-44,Other
398,140,2023-07-19,NULL,NULL,2024-01-15,1,paid_search,D,40-70k,35-44,NJ
399,267,2023-10-12,NULL,NULL,2024-04-09,1,partnership,A,40-70k,18-24,NJ
401,1672,2024-10-14,NULL,NULL,2025-04-12,1,organic,A,110k+,18-24,Other
402,1177,2024-07-23,NULL,NULL,2025-01-19,1,organic,B,70-110k,45-54,Other
406,405,2023-12-28,NULL,NULL,2024-06-25,1,organic,B,40-70k,18-24,Other
407,3568,2025-05-26,NULL,NULL,2025-11-22,1,affiliate,A,70-110k,35-44,Other
410,5778,2025-10-18,NULL,NULL,2026-04-16,NULL,paid_search,B,110k+,18-24,Other
411,98,2023-06-27,7266,2023-12-07,2023-12-24,0,referral,B,40-70k,45-54,Other
413,691,2024-03-31,NULL,NULL,2024-09-27,1,paid_search,C,70-110k,25-34,NJ
414,73,2023-05-03,7267,2023-10-30,2023-10-30,0,paid_search,A,40-70k,25-34,NY
416,2221,2024-12-02,NULL,NULL,2025-05-31,1,partnership,A,110k+,45-54,NJ
418,5432,2025-09-03,NULL,NULL,2026-03-02,NULL,paid_search,A,<40k,45-54,Other
419,55,2023-04-19,NULL,NULL,2023-10-16,1,partnership,B,70-110k,45-54,NY
420,1178,2024-07-30,7268,2024-10-06,2025-01-26,0,paid_search,B,<40k,55+,Other
421,4224,2025-07-08,NULL,NULL,2026-01-04,NULL,organic,C,<40k,55+,NY
423,301,2023-11-04,7269,2023-12-09,2024-05-02,0,referral,A,<40k,25-34,NY
425,91,2023-05-27,7270,2023-06-30,2023-11-23,0,paid_search,A,40-70k,25-34,Other
429,133,2023-07-13,NULL,NULL,2024-01-09,1,paid_search,B,70-110k,18-24,NY
431,2439,2024-12-26,NULL,NULL,2025-06-24,1,paid_search,A,70-110k,55+,NY
432,986,2024-05-11,7271,2024-06-30,2024-11-07,0,organic,A,40-70k,35-44,NY
433,1978,2024-11-06,NULL,NULL,2025-05-05,1,paid_search,B,70-110k,25-34,Other
435,354,2023-11-03,NULL,NULL,2024-05-01,1,paid_search,A,70-110k,45-54,Other
436,437,2023-12-22,NULL,NULL,2024-06-19,1,partnership,B,70-110k,18-24,NJ
437,6889,2025-12-12,NULL,NULL,2026-06-10,NULL,affiliate,A,70-110k,18-24,Other
439,4143,2025-06-28,NULL,NULL,2025-12-25,1,referral,B,70-110k,25-34,Other
442,1136,2024-07-19,NULL,NULL,2025-01-15,1,partnership,A,70-110k,45-54,NJ
449,222,2023-09-04,NULL,NULL,2024-03-02,1,organic,A,40-70k,45-54,Other
453,4964,2025-08-15,NULL,NULL,2026-02-11,NULL,organic,A,110k+,35-44,NY
454,563,2024-02-10,NULL,NULL,2024-08-08,1,affiliate,D,<40k,35-44,Other
455,1472,2024-09-16,NULL,NULL,2025-03-15,1,paid_search,B,<40k,35-44,NJ
456,1403,2024-08-24,NULL,NULL,2025-02-20,1,partnership,B,<40k,45-54,NY
457,226,2023-09-24,NULL,NULL,2024-03-22,1,paid_search,A,70-110k,18-24,Other
458,2371,2024-12-25,NULL,NULL,2025-06-23,1,paid_search,A,70-110k,35-44,NY
