customer_id,total_payment_180d,total_loss_180d,net_ltv_180d,pareto_x,cum_ltv_180d,pareto_y
3776,1348.42,0.00,1348.42,2.98,227613.15,8.500673
775,1341.96,0.00,1341.96,3.00,228955.11,8.550792
2889,1341.89,0.00,1341.89,3.02,230297.00,8.600907
886,1338.97,0.00,1338.97,3.04,231635.97,8.650914
2565,1338.48,0.00,1338.48,3.06,232974.45,8.700902
2197,1337.20,0.00,1337.20,3.09,234311.65,8.750842
1196,1334.66,0.00,1334.66,3.11,235646.31,8.800688
4925,1329.00,0.00,1329.00,3.13,236975.31,8.850322
4905,1327.44,0.00,1327.44,3.15,238302.75,8.899898
6995,1326.99,0.00,1326.99,3.17,239629.74,8.949457
7208,1325.71,0.00,1325.71,3.19,240955.45,8.998969
41,1324.89,0.00,1324.89,3.21,242280.34,9.048449
8893,1321.85,0.00,1321.85,3.23,243602.19,9.097816
3809,1319.70,0.00,1319.70,3.26,244921.89,9.147103
2550,1318.87,0.00,1318.87,3.28,246240.76,9.196359
2801,1317.21,0.00,1317.21,3.30,247557.97,9.245553
8428,1316.58,0.00,1316.58,3.32,248874.55,9.294723
6089,1312.35,0.00,1312.35,3.34,250186.90,9.343736
7688,1311.67,0.00,1311.67,3.36,251498.57,9.392723
1702,1311.30,0.00,1311.30,3.38,252809.87,9.441696
1172,1310.81,0.00,1310.81,3.40,254120.68,9.490651
8218,1310.75,0.00,1310.75,3.42,255431.43,9.539603
9261,1309.99,0.00,1309.99,3.45,256741.42,9.588528
3617,1309.24,0.00,1309.24,3.47,258050.66,9.637424
5691,1308.11,0.00,1308.11,3.49,259358.77,9.686278
537,1304.67,0.00,1304.67,3.51,260663.44,9.735003
12437,1303.73,0.00,1303.73,3.53,261967.17,9.783694
6255,1303.32,0.00,1303.32,3.55,263270.49,9.832369
2526,1302.58,0.00,1302.58,3.57,264573.07,9.881016
1003,1302.45,0.00,1302.45,3.59,265875.52,9.929659
8493,1301.31,0.00,1301.31,3.61,267176.83,9.978259
2525,1298.23,0.00,1298.23,3.64,268475.06,10.026744
4080,1298.21,0.00,1298.21,3.66,269773.27,10.075228
581,1295.77,0.00,1295.77,3.68,271069.04,10.123621
9624,1294.03,0.00,1294.03,3.70,272363.07,10.171950
4468,1288.23,0.00,1288.23,3.72,273651.30,10.220061
8952,1287.49,0.00,1287.49,3.74,274938.79,10.268145
5071,1287.42,0.00,1287.42,3.76,276226.21,10.316226
894,1285.19,0.00,1285.19,3.78,277511.40,10.364224
4768,1283.28,0.00,1283.28,3.80,278794.68,10.412151
1310,1283.18,0.00,1283.18,3.83,280077.86,10.460074
6780,1282.78,0.00,1282.78,3.85,281360.64,10.507982
838,1281.47,0.00,1281.47,3.87,282642.11,10.555841
3125,1278.01,0.00,1278.01,3.89,283920.12,10.603571
6218,1275.31,0.00,1275.31,3.91,285195.43,10.651200
3583,1274.72,0.00,1274.72,3.93,286470.15,10.698807
4570,1273.98,0.00,1273.98,3.95,287744.13,10.746386
6440,1272.18,0.00,1272.18,3.97,289016.31,10.793899
6333,1270.53,0.00,1270.53,3.99,290286.84,10.841349
2238,1269.80,0.00,1269.80,4.02,291556.64,10.888772
1065,1266.46,0.00,1266.46,4.04,292823.10,10.936071
1910,1264.24,0.00,1264.24,4.06,294087.34,10.983286
3744,1263.83,0.00,1263.83,4.08,295351.17,11.030487
4921,1263.59,0.00,1263.59,4.10,296614.76,11.077678
806,1263.57,0.00,1263.57,4.12,297878.33,11.124869
9442,1263.25,0.00,1263.25,4.14,299141.58,11.172047
1025,1261.43,0.00,1261.43,4.16,300403.01,11.219158
3189,1259.19,0.00,1259.19,4.19,301662.20,11.266185
28,1258.92,0.00,1258.92,4.21,302921.12,11.313202
11159,1254.16,0.00,1254.16,4.23,304175.28,11.360041
3914,1254.15,0.00,1254.15,4.25,305429.43,11.406880
2495,1254.08,0.00,1254.08,4.27,306683.51,11.453716
316,1253.80,0.00,1253.80,4.29,307937.31,11.500542
9333,1251.03,0.00,1251.03,4.31,309188.34,11.547264
5703,1250.14,0.00,1250.14,4.33,310438.48,11.593953
6569,1249.70,0.00,1249.70,4.35,311688.18,11.640625
1271,1249.54,0.00,1249.54,4.38,312937.72,11.687292
8726,1249.24,0.00,1249.24,4.40,314186.96,11.733947
6654,1243.55,0.00,1243.55,4.42,315430.51,11.780390
5547,1241.08,0.00,1241.08,4.44,316671.59,11.826741
276,1240.95,0.00,1240.95,4.46,317912.54,11.873087
3199,1239.20,0.00,1239.20,4.48,319151.74,11.919367
508,1239.03,0.00,1239.03,4.50,320390.77,11.965641
12049,1239.02,0.00,1239.02,4.52,321629.79,12.011915
5076,1236.30,0.00,1236.30,4.54,322866.09,12.058087
474,1232.65,0.00,1232.65,4.57,324098.74,12.104123
2105,1232.13,0.00,1232.13,4.59,325330.87,12.150139
3659,1231.57,0.00,1231.57,4.61,326562.44,12.196135
7785,1231.21,0.00,1231.21,4.63,327793.65,12.242117
260,1230.59,0.00,1230.59,4.65,329024.24,12.288076
3828,1229.43,0.00,1229.43,4.67,330253.67,12.333991
3164,1228.83,0.00,1228.83,4.69,331482.50,12.379884
9746,1227.91,0.00,1227.91,4.71,332710.41,12.425743
808,1226.59,0.00,1226.59,4.73,333937.00,12.471553
8074,1226.46,0.00,1226.46,4.76,335163.46,12.517357
10877,1225.54,0.00,1225.54,4.78,336389.00,12.563127
2686,1223.91,0.00,1223.91,4.80,337612.91,12.608837
4167,1221.65,0.00,1221.65,4.82,338834.56,12.654462
1290,1221.16,0.00,1221.16,4.84,340055.72,12.700069
3626,1219.68,0.00,1219.68,4.86,341275.40,12.745620
2202,1219.21,0.00,1219.21,4.88,342494.61,12.791154
2337,1218.85,0.00,1218.85,4.90,343713.46,12.836674
4020,1218.64,0.00,1218.64,4.92,344932.10,12.882187
8000,1216.28,0.00,1216.28,4.95,346148.38,12.927611
8551,1214.99,0.00,1214.99,4.97,347363.37,12.972987
4165,1211.62,0.00,1211.62,4.99,348574.99,13.018238
12923,1211.10,0.00,1211.10,5.01,349786.09,13.063469
819,1206.15,0.00,1206.15,5.03,350992.24,13.108515
8360,1200.91,0.00,1200.91,5.05,352193.15,13.153365
3110,1200.24,0.00,1200.24,5.07,353393.39,13.198191
2459,1199.70,0.00,1199.70,5.09,354593.09,13.242996
1754,1198.42,0.00,1198.42,5.12,355791.51,13.287753
74,1197.39,0.00,1197.39,5.14,356988.90,13.332472
1173,1197.20,0.00,1197.20,5.16,358186.10,13.377184
2269,1196.18,0.00,1196.18,5.18,359382.28,13.421858
632,1194.46,0.00,1194.46,5.20,360576.74,13.466467
5653,1192.86,0.00,1192.86,5.22,361769.60,13.511017
2792,1189.23,0.00,1189.23,5.24,362958.83,13.555431
9432,1186.96,0.00,1186.96,5.26,364145.79,13.599761
69,1186.94,0.00,1186.94,5.28,365332.73,13.644090
8619,1186.71,0.00,1186.71,5.31,366519.44,13.688410
191,1184.53,0.00,1184.53,5.33,367703.97,13.732648
9718,1184.06,0.00,1184.06,5.35,368888.03,13.776869
523,1183.23,0.00,1183.23,5.37,370071.26,13.821060
418,1182.27,0.00,1182.27,5.39,371253.53,13.865214
4603,1182.20,0.00,1182.20,5.41,372435.73,13.909365
7142,1181.65,0.00,1181.65,5.43,373617.38,13.953497
4129,1180.96,0.00,1180.96,5.45,374798.34,13.997602
469,1177.47,0.00,1177.47,5.47,375975.81,14.041577
5379,1175.24,0.00,1175.24,5.50,377151.05,14.085469
4292,1172.92,0.00,1172.92,5.52,378323.97,14.129274
4853,1172.90,0.00,1172.90,5.54,379496.87,14.173078
6894,1172.10,0.00,1172.10,5.56,380668.97,14.216852
719,1171.84,0.00,1171.84,5.58,381840.81,14.260617
1569,1171.62,0.00,1171.62,5.60,383012.43,14.304374
2236,1171.19,0.00,1171.19,5.62,384183.62,14.348114
9580,1170.28,0.00,1170.28,5.64,385353.90,14.391821
4461,1169.91,0.00,1169.91,5.66,386523.81,14.435513
1145,1168.07,0.00,1168.07,5.69,387691.88,14.479137
5874,1167.46,0.00,1167.46,5.71,388859.34,14.522738
4091,1166.79,0.00,1166.79,5.73,390026.13,14.566315
25,1164.49,0.00,1164.49,5.75,391190.62,14.609805
3837,1164.07,0.00,1164.07,5.77,392354.69,14.653279
4097,1164.04,0.00,1164.04,5.79,393518.73,14.696753
8974,1163.24,0.00,1163.24,5.81,394681.97,14.740196
5119,1162.97,0.00,1162.97,5.83,395844.94,14.783630
2006,1161.79,0.00,1161.79,5.85,397006.73,14.827019
6315,1161.50,0.00,1161.50,5.88,398168.23,14.870398
5178,1161.20,0.00,1161.20,5.90,399329.43,14.913765
2160,1159.33,0.00,1159.33,5.92,400488.76,14.957063
3091,1158.15,0.00,1158.15,5.94,401646.91,15.000316
2000,1157.60,0.00,1157.60,5.96,402804.51,15.043549
4339,1156.35,0.00,1156.35,5.98,403960.86,15.086735
10758,1152.04,0.00,1152.04,6.00,405112.90,15.129760
5949,1152.04,0.00,1152.04,6.02,406264.94,15.172786
2612,1151.77,0.00,1151.77,6.05,407416.71,15.215801
1582,1148.84,0.00,1148.84,6.07,408565.55,15.258707
4249,1147.82,0.00,1147.82,6.09,409713.37,15.301574
7610,1145.70,0.00,1145.70,6.11,410859.07,15.344363
5162,1145.24,0.00,1145.24,6.13,412004.31,15.387134
1995,1144.35,0.00,1144.35,6.15,413148.66,15.429872
6187,1143.30,0.00,1143.30,6.17,414291.96,15.472571
9967,1143.20,0.00,1143.20,6.19,415435.16,15.515266
4843,1141.77,0.00,1141.77,6.21,416576.93,15.557908
4223,1141.10,0.00,1141.10,6.24,417718.03,15.600525
2077,1141.06,0.00,1141.06,6.26,418859.09,15.643140
6383,1140.15,0.00,1140.15,6.28,419999.24,15.685721
4911,1138.65,0.00,1138.65,6.30,421137.89,15.728246
7321,1138.21,0.00,1138.21,6.32,422276.10,15.770755
6211,1137.48,0.00,1137.48,6.34,423413.58,15.813236
5436,1136.77,0.00,1136.77,6.36,424550.35,15.855691
3790,1136.06,0.00,1136.06,6.38,425686.41,15.898120
2176,1134.97,0.00,1134.97,6.40,426821.38,15.940508
216,1134.22,0.00,1134.22,6.43,427955.60,15.982867
2106,1133.92,0.00,1133.92,6.45,429089.52,16.025216
2936,1133.12,0.00,1133.12,6.47,430222.64,16.067534
4976,1132.25,0.00,1132.25,6.49,431354.89,16.109821
995,1131.92,0.00,1131.92,6.51,432486.81,16.152094
2359,1131.54,0.00,1131.54,6.53,433618.35,16.194354
5767,1131.40,0.00,1131.40,6.55,434749.75,16.236609
5094,1130.44,0.00,1130.44,6.57,435880.19,16.278827
2520,1129.84,0.00,1129.84,6.59,437010.03,16.321023
2246,1128.32,0.00,1128.32,6.62,438138.35,16.363163
7788,1126.93,0.00,1126.93,6.64,439265.28,16.405250
2390,1126.65,0.00,1126.65,6.66,440391.93,16.447327
1924,1126.32,0.00,1126.32,6.68,441518.25,16.489392
4433,1125.85,0.00,1125.85,6.70,442644.10,16.531439
9667,1124.94,0.00,1124.94,6.72,443769.04,16.573452
7319,1123.86,0.00,1123.86,6.74,444892.90,16.615425
6027,1121.86,0.00,1121.86,6.76,446014.76,16.657323
1715,1121.47,0.00,1121.47,6.79,447136.23,16.699207
5159,1121.44,0.00,1121.44,6.81,448257.67,16.741089
4578,1120.97,0.00,1120.97,6.83,449378.64,16.782954
5846,1120.59,0.00,1120.59,6.85,450499.23,16.824805
3311,1119.34,0.00,1119.34,6.87,451618.57,16.866609
2373,1119.22,0.00,1119.22,6.89,452737.79,16.908408
8234,1119.07,0.00,1119.07,6.91,453856.86,16.950202
6024,1117.07,0.00,1117.07,6.93,454973.93,16.991921
3966,1115.94,0.00,1115.94,6.95,456089.87,17.033598
5922,1115.79,0.00,1115.79,6.98,457205.66,17.075270
5265,1113.10,0.00,1113.10,7.00,458318.76,17.116841
7175,1111.79,0.00,1111.79,7.02,459430.55,17.158363
682,1111.28,0.00,1111.28,7.04,460541.83,17.199866
414,1110.19,0.00,1110.19,7.06,461652.02,17.241328
5314,1110.07,0.00,1110.07,7.08,462762.09,17.282786
4838,1107.97,0.00,1107.97,7.10,463870.06,17.324165
270,1106.97,0.00,1106.97,7.12,464977.03,17.365507
986,1105.63,0.00,1105.63,7.14,466082.66,17.406799
2808,1105.56,0.00,1105.56,7.17,467188.22,17.448089
11057,1104.20,0.00,1104.20,7.19,468292.42,17.489327
4740,1102.77,0.00,1102.77,7.21,469395.19,17.530513
1190,1101.08,0.00,1101.08,7.23,470496.27,17.571635
1618,1100.29,0.00,1100.29,7.25,471596.56,17.612727
15,1100.24,0.00,1100.24,7.27,472696.80,17.653818
3788,1099.74,0.00,1099.74,7.29,473796.54,17.694890
2217,1099.47,0.00,1099.47,7.31,474896.01,17.735952
2049,1098.11,0.00,1098.11,7.33,475994.12,17.776963
5050,1098.05,0.00,1098.05,7.36,477092.17,17.817972
327,1097.56,0.00,1097.56,7.38,478189.73,17.858962
8033,1097.36,0.00,1097.36,7.40,479287.09,17.899946
4851,1097.31,0.00,1097.31,7.42,480384.40,17.940927
4670,1097.00,0.00,1097.00,7.44,481481.40,17.981897
8912,1096.96,0.00,1096.96,7.46,482578.36,18.022865
8836,1094.20,0.00,1094.20,7.48,483672.56,18.063730
1869,1092.95,0.00,1092.95,7.50,484765.51,18.104548
507,1092.15,0.00,1092.15,7.52,485857.66,18.145337
7906,1091.83,0.00,1091.83,7.55,486949.49,18.186113
8278,1091.67,0.00,1091.67,7.57,488041.16,18.226884
1464,1091.03,0.00,1091.03,7.59,489132.19,18.267631
5707,1090.49,0.00,1090.49,7.61,490222.68,18.308357
3832,1090.29,0.00,1090.29,7.63,491312.97,18.349076
1481,1090.03,0.00,1090.03,7.65,492403.00,18.389786
11921,1088.90,0.00,1088.90,7.67,493491.90,18.430453
997,1088.34,0.00,1088.34,7.69,494580.24,18.471099
9419,1087.30,0.00,1087.30,7.72,495667.54,18.511707
10503,1086.86,0.00,1086.86,7.74,496754.40,18.552298
8354,1086.80,0.00,1086.80,7.76,497841.20,18.592886
5723,1085.97,0.00,1085.97,7.78,498927.17,18.633444
10776,1083.49,0.00,1083.49,7.80,500010.66,18.673909
1693,1080.79,0.00,1080.79,7.82,501091.45,18.714273
8393,1080.53,0.00,1080.53,7.84,502171.98,18.754628
8261,1080.19,0.00,1080.19,7.86,503252.17,18.794970
8746,1079.78,0.00,1079.78,7.88,504331.95,18.835297
2366,1079.52,0.00,1079.52,7.91,505411.47,18.875613
7480,1078.38,0.00,1078.38,7.93,506489.85,18.915888
5541,1077.94,0.00,1077.94,7.95,507567.79,18.956146
11647,1077.89,0.00,1077.89,7.97,508645.68,18.996401
1056,1077.77,0.00,1077.77,7.99,509723.45,19.036653
8025,1077.57,0.00,1077.57,8.01,510801.02,19.076897
1379,1075.14,0.00,1075.14,8.03,511876.16,19.117050
6067,1074.11,0.00,1074.11,8.05,512950.27,19.157165
162,1073.58,0.00,1073.58,8.07,514023.85,19.197260
8714,1073.34,0.00,1073.34,8.10,515097.19,19.237346
407,1071.71,0.00,1071.71,8.12,516168.90,19.277371
6964,1070.58,0.00,1070.58,8.14,517239.48,19.317354
2547,1069.57,0.00,1069.57,8.16,518309.05,19.357300
7267,1066.37,0.00,1066.37,8.18,519375.42,19.397125
6551,1065.38,0.00,1065.38,8.20,520440.80,19.436914
521,1064.56,0.00,1064.56,8.22,521505.36,19.476672
2867,1061.65,0.00,1061.65,8.24,522567.01,19.516322
3932,1060.77,0.00,1060.77,8.26,523627.78,19.555938
7152,1060.20,0.00,1060.20,8.29,524687.98,19.595534
10147,1059.95,0.00,1059.95,8.31,525747.93,19.635120
6923,1058.81,0.00,1058.81,8.33,526806.74,19.674663
4272,1058.58,0.00,1058.58,8.35,527865.32,19.714198
7635,1057.93,0.00,1057.93,8.37,528923.25,19.753708
6353,1057.45,0.00,1057.45,8.39,529980.70,19.793201
896,1057.30,0.00,1057.30,8.41,531038.00,19.832688
926,1057.19,0.00,1057.19,8.43,532095.19,19.872171
7928,1056.65,0.00,1056.65,8.45,533151.84,19.911634
5449,1056.05,0.00,1056.05,8.48,534207.89,19.951074
2329,1055.83,0.00,1055.83,8.50,535263.72,19.990506
2748,1055.52,0.00,1055.52,8.52,536319.24,20.029927
5427,1055.26,0.00,1055.26,8.54,537374.50,20.069337
12764,1053.99,0.00,1053.99,8.56,538428.49,20.108701
315,1053.43,0.00,1053.43,8.58,539481.92,20.148043
7932,1052.02,0.00,1052.02,8.60,540533.94,20.187333
7094,1051.85,0.00,1051.85,8.62,541585.79,20.226617
2388,1051.36,0.00,1051.36,8.65,542637.15,20.265882
723,1050.52,0.00,1050.52,8.67,543687.67,20.305115
5593,1050.23,0.00,1050.23,8.69,544737.90,20.344338
2489,1050.00,0.00,1050.00,8.71,545787.90,20.383553
8978,1049.95,0.00,1049.95,8.73,546837.85,20.422765
456,1047.37,0.00,1047.37,8.75,547885.22,20.461881
1920,1046.05,0.00,1046.05,8.77,548931.27,20.500948
2724,1045.37,0.00,1045.37,8.79,549976.64,20.539990
7425,1045.07,0.00,1045.07,8.81,551021.71,20.579020
4631,1043.95,0.00,1043.95,8.84,552065.66,20.618008
2157,1043.44,0.00,1043.44,8.86,553109.10,20.656978
7335,1043.12,0.00,1043.12,8.88,554152.22,20.695935
4934,1042.68,0.00,1042.68,8.90,555194.90,20.734876
3250,1040.76,0.00,1040.76,8.92,556235.66,20.773746
11014,1039.97,0.00,1039.97,8.94,557275.63,20.812585
2239,1039.38,0.00,1039.38,8.96,558315.01,20.851403
5752,1039.19,0.00,1039.19,8.98,559354.20,20.890214
5643,1038.86,0.00,1038.86,9.00,560393.06,20.929012
5098,1037.89,0.00,1037.89,9.03,561430.95,20.967774
66,1036.98,0.00,1036.98,9.05,562467.93,21.006502
505,1036.72,0.00,1036.72,9.07,563504.65,21.045221
2769,1035.56,0.00,1035.56,9.09,564540.21,21.083896
8342,1034.88,0.00,1034.88,9.11,565575.09,21.122545
2361,1034.69,0.00,1034.69,9.13,566609.78,21.161188
3806,1034.28,0.00,1034.28,9.15,567644.06,21.199815
800,1032.77,0.00,1032.77,9.17,568676.83,21.238386
3839,1032.75,0.00,1032.75,9.19,569709.58,21.276956
1834,1032.68,0.00,1032.68,9.22,570742.26,21.315524
787,1032.56,0.00,1032.56,9.24,571774.82,21.354087
4769,1032.30,0.00,1032.30,9.26,572807.12,21.392640
3118,1031.71,0.00,1031.71,9.28,573838.83,21.431172
2024,1031.50,0.00,1031.50,9.30,574870.33,21.469695
6473,1031.35,0.00,1031.35,9.32,575901.68,21.508213
8895,1031.31,0.00,1031.31,9.34,576932.99,21.546729
12351,1030.77,0.00,1030.77,9.36,577963.76,21.585225
1406,1030.33,0.00,1030.33,9.38,578994.09,21.623705
1905,1029.47,0.00,1029.47,9.41,580023.56,21.662153
554,1026.84,0.00,1026.84,9.43,581050.40,21.700502
2825,1026.55,0.00,1026.55,9.45,582076.95,21.738841
4473,1026.13,0.00,1026.13,9.47,583103.08,21.777164
3354,1026.13,0.00,1026.13,9.49,584129.21,21.815487
5897,1025.49,0.00,1025.49,9.51,585154.70,21.853786
